date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:38	488/488	---M--	200	added ('OK')	image/svg+xml	etag:%225b06a7a0-1e8%22	https://tepla-dar.ru/img/editor_icons/downwards-pointer.svg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/editor_icons/downwards-pointer.svg	(from https://tepla-dar.ru/)
12:58:40	1994972/1994972	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cc1b806-1e70dc%22	https://tepla-dar.ru/fonts/icomoon.eot?d438at	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/fonts/icomoon2d3f.eot	(from https://tepla-dar.ru/)
12:58:41	21345/21345	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc4c185-5361%22	https://top-fwz1.mail.ru/js/code.js	C:/Users/tairo/Desktop/site/dar/top-fwz1.mail.ru/js/code.js	(from https://tepla-dar.ru/)
12:58:43	1994808/1994808	---M--	200	added ('OK')	application/octet-stream	etag:%225cc1b811-1e7038%22	https://tepla-dar.ru/fonts/icomoon.ttf?d438at	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/fonts/icomoon2d3f.ttf	(from https://tepla-dar.ru/)
12:58:43	101954/101954	---M-Z	200	added ('OK')	application/x-javascript	etag:%225f6a5ec8-5e2e%22	https://vk.com/js/api/openapi.js?168	C:/Users/tairo/Desktop/site/dar/vk.com/js/api/openapi006f.js	(from https://tepla-dar.ru/)
12:58:43	14419/14419	---M--	200	added ('OK')	image/png	etag:%225a27eeff-3853%22	https://tepla-dar.ru/img/1920x0/null.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/1920x0/null.png	(from https://tepla-dar.ru/)
12:58:43	205/205	---M--	200	added ('OK')	image/png	etag:%22574ecf68-cd%22	https://tepla-dar.ru/img/null.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/null.png	(from https://tepla-dar.ru/)
12:58:45	7579/7579	---M--	200	added ('OK')	image/jpeg	etag:%225ea59042-1d9b%22	https://tepla-dar.ru/img/150x150/bd4a2f318981c67c1db8c7f930dba939.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/bd4a2f318981c67c1db8c7f930dba939.jpg	(from https://tepla-dar.ru/)
12:58:47	1191385/1191385	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2008:58:45%20GMT	https://tepla-dar.ru/?personal_data=1	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/index2580.html	(from https://tepla-dar.ru/)
12:58:48	307506/307506	---M--	200	added ('OK')	image/jpeg	etag:%225ea547dd-4b132%22	https://tepla-dar.ru/img/1920x0/a5fbcd37696350bc3c12e120f2d369fa.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/1920x0/a5fbcd37696350bc3c12e120f2d369fa.jpg	(from https://tepla-dar.ru/)
12:58:48	1191385/1191385	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2008:58:45%20GMT	https://tepla-dar.ru/?personal_data=2	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/indexb389.html	(from https://tepla-dar.ru/)
12:58:49	7338/7338	---M--	200	added ('OK')	image/jpeg	etag:%225ea59078-1caa%22	https://tepla-dar.ru/img/150x150/b452f467f800f92ec95d0188db86c851.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/b452f467f800f92ec95d0188db86c851.jpg	(from https://tepla-dar.ru/)
12:58:49	5561/5561	---M--	200	added ('OK')	image/jpeg	etag:%225ea590b9-15b9%22	https://tepla-dar.ru/img/150x150/fffbb0396dac912301afdf8ba0605af4.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/fffbb0396dac912301afdf8ba0605af4.jpg	(from https://tepla-dar.ru/)
12:58:49	7007/7007	---M--	200	added ('OK')	image/jpeg	etag:%225ea590d5-1b5f%22	https://tepla-dar.ru/img/150x150/b2ea3281428d18416e6a47ddab96ed6a.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/b2ea3281428d18416e6a47ddab96ed6a.jpg	(from https://tepla-dar.ru/)
12:58:50	7602/7602	---M--	200	added ('OK')	image/jpeg	etag:%225ea590f7-1db2%22	https://tepla-dar.ru/img/150x150/c663500902732fd1cc5f3ee46edf40a7.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/c663500902732fd1cc5f3ee46edf40a7.jpg	(from https://tepla-dar.ru/)
12:58:50	4204/4204	---M--	200	added ('OK')	image/png	etag:%225ea59172-106c%22	https://tepla-dar.ru/img/150x150/0c3d13d218a175a0ba97e3e505486df1.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/0c3d13d218a175a0ba97e3e505486df1.png	(from https://tepla-dar.ru/)
12:58:51	7122/7122	---M--	200	added ('OK')	image/jpeg	etag:%225ea59691-1bd2%22	https://tepla-dar.ru/img/150x150/7bf86d3082e8661aa87b6a781710d476.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/7bf86d3082e8661aa87b6a781710d476.jpg	(from https://tepla-dar.ru/)
12:58:51	9763/9763	---M--	200	added ('OK')	image/jpeg	etag:%225ea59691-2623%22	https://tepla-dar.ru/img/150x150/1a2748ed5dc4fbc611c43efa23dba976.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/1a2748ed5dc4fbc611c43efa23dba976.jpg	(from https://tepla-dar.ru/)
12:58:58	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://stackpath.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/Users/tairo/Desktop/site/dar/stackpath.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://tepla-dar.ru/)
12:59:04	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/tairo/Desktop/site/dar/www.google-analytics.com/analytics.js	(from https://tepla-dar.ru/)
12:59:05	11084/11084	---MCZ	200	added ('OK')	text/css	etag:W/%225f0db531-2b4c%22	https://tepla-dar.ru/css/ion.rangeSlider.min.css	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/css/ion.rangeSlider.min.css	(from https://tepla-dar.ru/)
13:00:06	156721/156721	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ca753ad-26431%22	https://tepla-dar.ru/js/chart.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/chart.min.js	(from https://tepla-dar.ru/)
13:00:09	41171/41171	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0db529-a0d3%22	https://tepla-dar.ru/js/ion.rangeSlider.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/ion.rangeSlider.min.js	(from https://tepla-dar.ru/)
13:00:11	1837/1837	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f5a1ccd-72d%22	https://tepla-dar.ru/js/lazyload.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/lazyload.min.js	(from https://tepla-dar.ru/)
13:00:36	648/648	URF---	200	added ('OK%20(cached)')	image/png		https://tepla-dar.ru/img/btn_bg.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/btn_bg.png	(from https://tepla-dar.ru/)
13:00:38	171/171	URF---	200	added ('OK%20(cached)')	image/png		https://tepla-dar.ru/img/noise.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/noise.png	(from https://tepla-dar.ru/)
13:00:38	3246/3246	URF---	200	added ('OK%20(cached)')	image/png		https://tepla-dar.ru/img/no_photo.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/no_photo.png	(from https://tepla-dar.ru/)
13:01:01	413/413	URF---	200	added ('OK%20(cached)')	image/png		https://tepla-dar.ru/img/100x0/arrow.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/100x0/arrow.png	(from https://tepla-dar.ru/)
13:01:47	307506/307506	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/1920x0/a5fbcd37696350bc3c12e120f2d369fa.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/1920x0/a5fbcd37696350bc3c12e120f2d369fa.jpg	(from https://tepla-dar.ru/)
13:01:49	7579/7579	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/bd4a2f318981c67c1db8c7f930dba939.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/bd4a2f318981c67c1db8c7f930dba939.jpg	(from https://tepla-dar.ru/)
13:01:55	7338/7338	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/b452f467f800f92ec95d0188db86c851.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/b452f467f800f92ec95d0188db86c851.jpg	(from https://tepla-dar.ru/)
13:01:55	5561/5561	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/fffbb0396dac912301afdf8ba0605af4.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/fffbb0396dac912301afdf8ba0605af4.jpg	(from https://tepla-dar.ru/)
13:02:07	7007/7007	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/b2ea3281428d18416e6a47ddab96ed6a.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/b2ea3281428d18416e6a47ddab96ed6a.jpg	(from https://tepla-dar.ru/)
13:02:10	7602/7602	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/c663500902732fd1cc5f3ee46edf40a7.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/c663500902732fd1cc5f3ee46edf40a7.jpg	(from https://tepla-dar.ru/)
13:02:10	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/tairo/Desktop/site/dar/www.google-analytics.com/analytics.js	(from https://tepla-dar.ru/)
13:02:12	156721/156721	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225ca753ad-26431%22	https://tepla-dar.ru/js/chart.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/chart.min.js	(from https://tepla-dar.ru/)
13:02:16	4204/4204	URF---	200	added ('OK%20(cached)')	image/png		https://tepla-dar.ru/img/150x150/0c3d13d218a175a0ba97e3e505486df1.png	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/0c3d13d218a175a0ba97e3e505486df1.png	(from https://tepla-dar.ru/)
13:02:16	7122/7122	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/7bf86d3082e8661aa87b6a781710d476.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/7bf86d3082e8661aa87b6a781710d476.jpg	(from https://tepla-dar.ru/)
13:02:28	9763/9763	URF---	200	added ('OK%20(cached)')	image/jpeg		https://tepla-dar.ru/img/150x150/1a2748ed5dc4fbc611c43efa23dba976.jpg	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/img/150x150/1a2748ed5dc4fbc611c43efa23dba976.jpg	(from https://tepla-dar.ru/)
13:02:29	41171/41171	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f0db529-a0d3%22	https://tepla-dar.ru/js/ion.rangeSlider.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/ion.rangeSlider.min.js	(from https://tepla-dar.ru/)
13:02:29	1837/1837	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f5a1ccd-72d%22	https://tepla-dar.ru/js/lazyload.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/lazyload.min.js	(from https://tepla-dar.ru/)
13:02:30	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:29%20GMT	https://tepla-dar.ru/widget_comments.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_comments.2f.delayed	(from https://vk.com/js/api/openapi.js?168)
13:02:30	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:30%20GMT	https://tepla-dar.ru/widget_recommended.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_recommended.php	(from https://vk.com/js/api/openapi.js?168)
13:02:30	3577/3577	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:30%20GMT	https://tepla-dar.ru/;%20path=/	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/;%20path=/index.html	(from https://vk.com/js/api/openapi.js?168)
13:02:30	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:30%20GMT	https://tepla-dar.ru/widget_post.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_post.php	(from https://vk.com/js/api/openapi.js?168)
13:02:30	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:31%20GMT	https://tepla-dar.ru/widget_like.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_like.php	(from https://vk.com/js/api/openapi.js?168)
13:02:31	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:31%20GMT	https://tepla-dar.ru/al_widget_poll.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/al_widget_poll.php	(from https://vk.com/js/api/openapi.js?168)
13:02:31	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:31%20GMT	https://tepla-dar.ru/widget_app.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_app.php	(from https://vk.com/js/api/openapi.js?168)
13:02:31	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:31%20GMT	https://tepla-dar.ru/widget_community.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_community.php	(from https://vk.com/js/api/openapi.js?168)
13:02:31	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:31%20GMT	https://tepla-dar.ru/widget_auth.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_auth.php	(from https://vk.com/js/api/openapi.js?168)
13:02:32	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:32%20GMT	https://tepla-dar.ru/widget_subscribe.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_subscribe.php	(from https://vk.com/js/api/openapi.js?168)
13:02:32	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:33%20GMT	https://tepla-dar.ru/widget_contactus.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_contactus.php	(from https://vk.com/js/api/openapi.js?168)
13:02:33	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:33%20GMT	https://tepla-dar.ru/widget_bookmarks.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_bookmarks.php	(from https://vk.com/js/api/openapi.js?168)
13:02:33	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:33%20GMT	https://tepla-dar.ru/widget_playlist.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_playlist.php	(from https://vk.com/js/api/openapi.js?168)
13:02:33	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:33%20GMT	https://tepla-dar.ru/ads_rotate.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/ads_rotate.php	(from https://vk.com/js/api/openapi.js?168)
13:02:33	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:33%20GMT	https://tepla-dar.ru/web/ads_light.js?	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/web/ads_lightd41d.js	(from https://vk.com/js/api/openapi.js?168)
13:02:34	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:34%20GMT	https://tepla-dar.ru/widget_allow_messages_from_community.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_allow_messages_from_community.php	(from https://vk.com/js/api/openapi.js?168)
13:02:34	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:34%20GMT	https://tepla-dar.ru/widget_article.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_article.php	(from https://vk.com/js/api/openapi.js?168)
13:02:34	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:34%20GMT	https://tepla-dar.ru/widget_podcast.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_podcast.php	(from https://vk.com/js/api/openapi.js?168)
13:02:34	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:34%20GMT	https://tepla-dar.ru/widget_community_messages.php	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/widget_community_messages.php	(from https://vk.com/js/api/openapi.js?168)
13:02:34	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:35%20GMT	https://tepla-dar.ru/blank.php?	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/blankd41d.php	(from https://vk.com/js/api/openapi.js?168)
13:02:36	164/164	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Dec%202020%2009:02:35%20GMT	http://vk.com/js/api/openapi_update.js?	C:/Users/tairo/Desktop/site/dar/vk.com/js/api/openapi_update.42d41d.delayed	(from https://vk.com/js/api/openapi.js?168)
13:02:37	408/408	---M--	404	error ('Not%20Found')	text/html	etag:%225f6a5ec9-198%22	https://vk.com/js/api/openapi_update.js?	C:/Users/tairo/Desktop/site/dar/vk.com/js/api/openapi_update.43d41d.delayed	(from https://vk.com/js/api/openapi.js?168)
13:02:38	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2009:02:38%20GMT	https://tepla-dar.ru/api/openapi.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/api/openapi.js	(from https://vk.com/js/api/openapi.js?168)
13:02:49	1191385/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2009:02:38%20GMT	https://tepla-dar.ru/?personal_data=1	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/index2580.html	(from https://tepla-dar.ru/)
13:02:51	8463070/8463070	---M--	200	added ('OK')	image/svg+xml	etag:%225cc1b80f-8122de%22	https://tepla-dar.ru/fonts/icomoon.svg?d438at	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/fonts/icomoon2d3f.svg	(from https://tepla-dar.ru/)
13:02:55	4142/4142	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cecdae7-102e%22	https://tepla-dar.ru/js/mask.min.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/mask.min.js	(from https://tepla-dar.ru/)
13:02:55	17507/17507	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0efc09-4463%22	https://tepla-dar.ru/js/swipe.js	C:/Users/tairo/Desktop/site/dar/tepla-dar.ru/js/swipe.js	(from https://tepla-dar.ru/)
